mineral,name,key,type,internationalCompanyName,officeCountry,year,oreOutputs,oreUnits,grossRevenues,netProfit,totalTax,CSR,CSRpercent,sourceName,sourceURL
Diamond,Zimbabwe Consolidated Diamond Mining Company,zcdmc,Local Company (GoZ),Defold Mine (Pvt) Ltd,Zimbabwe,2019,1647223,carats,315885458,276334384,149138867,,0.0%,,
Diamond,Zimbabwe Consolidated Diamond Mining Company,zcdmc,Local Company (GoZ),Defold Mine (Pvt) Ltd,Zimbabwe,2020,1375455,carats,68392012,-28360529,11276613,,0.0%,,
Diamond,Zimbabwe Consolidated Diamond Mining Company,zcdmc,Local Company (GoZ),Defold Mine (Pvt) Ltd,Zimbabwe,2021,4019206,carats,102156581,23761118,8387910,,0.0%,Chamber of Mines,
Gold,Caledonia Blanket Mine,cale,International Company,,United Kingdom,2017,1591.3,kg,69762000,12756000,,,0.0%,,
Gold,Caledonia Blanket Mine,cale,International Company,,United Kingdom,2018,1545.3,kg,68399000,13756000,6594000,,0.0%,Caledonia Mining Integrated Report 2020,https://wp-caledoniamining-2020.s3.eu-west-2.amazonaws.com/media/2021/09/06072008/CaledoniaMining_IR_2020-1.pdf
Gold,Caledonia Blanket Mine,cale,International Company,,United Kingdom,2019,1563.3,kg,75826000,50401000,9337000,47000,0.1%,Caledonia Mining Integrated Report 2020,https://wp-caledoniamining-2020.s3.eu-west-2.amazonaws.com/media/2021/09/06072008/CaledoniaMining_IR_2020-1.pdf
Gold,Caledonia Blanket Mine,cale,International Company,,United Kingdom,2020,1641.4,kg,100000000,25257000,12500000,1689000,1.7%,Caledonia Mining Integrated Report 2020,https://wp-caledoniamining-2020.s3.eu-west-2.amazonaws.com/media/2021/09/06072008/CaledoniaMining_IR_2020-1.pdf
Gold,Caledonia Blanket Mine,cale,International Company,,United Kingdom,2021,1912.91,kg,121329000,23142000,14857000,1163000,1.0%,Caledonia Mining Integrated Report 2021,https://wp-caledoniamining-2020.s3.eu-west-2.amazonaws.com/media/2022/08/Caledonia-Mining-Integrated-Report-2021.pdf
Gold,Caledonia Blanket Mine,cale,International Company,,United Kingdom,2022,2290,kg,142082000,22866000,16770000,888000,0.6%,,
Gold,Caledonia Blanket Mine,cale,International Company,,United Kingdom,2023,2138,kg,146314000,-618000,12810000,1491000,1.0%,,
Gold,Caledonia Blanket Mine,cale,International Company,,United Kingdom,2024,1332.84,kg,88635000,13165000,7681000,,0.0%,,
Gold,Falcon Gold,falcon,Local Company,New Dawn Mining Corp,Zimbabwe,2017,159,kg,6894732,-684074,50000,,0.0%,Falcon Gold Consolidated Financials 2018,https://drive.google.com/file/d/1GUOq-GNektYnPz2BQKRiFuLFRSEhPh52/view
Gold,Falcon Gold,falcon,Local Company,New Dawn Mining Corp,Zimbabwe,2018,78,kg,2586834,-1681348,7450,,0.0%,Annual Report,
Gold,Falcon Gold,falcon,Local Company,New Dawn Mining Corp,Zimbabwe,2019,52.41,kg,1516767.1,-27224725,,,0.0%,Annual Report,
Gold,Falcon Gold,falcon,Local Company,New Dawn Mining Corp,Zimbabwe,2020,,,81826.3,195882188,,,0.0%,,
Gold,Falcon Gold,falcon,Local Company,New Dawn Mining Corp,Zimbabwe,2021,,,,,,,0.0%,,
Gold,Falcon Gold,falcon,Local Company,New Dawn Mining Corp,Zimbabwe,2022,929,,,,,,0.0%,,
Gold,Kuvimba Mining House,kuvimba,Local Company (GoZ),,,2017,,,,,,,0.0%,,
Gold,Kuvimba Mining House,kuvimba,Local Company (GoZ),,,2020,2692,kg,,,,,0.0%,,
Gold,Kuvimba Mining House,kuvimba,Local Company (GoZ),,,2021,3275.39,kg,,,,,0.0%,,
Gold,Kuvimba Mining House,kuvimba,Local Company (GoZ),,,2024,3240,kg,,,,,0.0%,,
Gold,Padenga Holdings Limited,padenga,Local Company,,Zimbabwe,2020,722,kg,40358114,5151663,1963077,,0.0%,Padenga Financial Report,https://www.padenga.com/categories/notice-to-shareholders
Gold,Padenga Holdings Limited,padenga,Local Company,,Zimbabwe,2021,976,kg,51389610,-4416898,,40673,0.1%,Padenga Financial Report,https://www.padenga.com/categories/notice-to-shareholders
Gold,Padenga Holdings Limited,padenga,Local Company,,Zimbabwe,2022,1961,kg,104942223,8612105,432560,,0.0%,,
Gold,Padenga Holdings Limited,padenga,Local Company,,Zimbabwe,2023,2120,kg,125633975,5119892,3863193,,0.0%,,
Gold,RioZim,rio,Local Company,RioGold,Zimbabwe,2017,2071,kg,28279000,8075000,,,0.0%,,
Gold,RioZim,rio,Local Company,RioGold,Zimbabwe,2018,1792,kg,13414000,2256000,,,0.0%,,
Gold,RioZim,rio,Local Company,RioGold,Zimbabwe,2019,1658,kg,847107.9,34667740,,,0.0%,,
Gold,RioZim,rio,Local Company,RioGold,Zimbabwe,2020,1632,kg,13527900.66,,,,0.0%,RIOZIM report,https://www.riozim.co.zw/?wpdmact=process&did=OTUuaG90bGluaw==
Gold,RioZim,rio,Local Company,RioGold,Zimbabwe,2021,1121,kg,195036.83,,,,0.0%,RIOZIM report,https://www.riozim.co.zw/?wpdmact=process&did=OTUuaG90bGluaw==
Gold,RioZim,rio,Local Company,RioGold,Zimbabwe,2022,929,kg,29285026,-29285026,13997853,,0.0%,,
Gold,RioZim,rio,Local Company,RioGold,Zimbabwe,2023,940,kg,35394579,-15693609,2631911,,0.0%,,
Gold,ZMDC,zmdc,Local Company,,Zimbabwe,2018,396.1,kg,48135,,,,0.0%,ZMDC Annual Report,https://zmdc.co.zw/assets/files/ZMDC-ANNUALREPORT-2019.pdf
Gold,ZMDC,zmdc,Local Company,,Zimbabwe,2019,425,kg,8287225,,,,0.0%,ZMDC Annual Report,https://zmdc.co.zw/assets/files/ZMDC-ANNUALREPORT-2019.pdf
Gold,ZMDC,zmdc,Local Company,,Zimbabwe,2020,444.6,kg,5748228,,,,0.0%,ZMDC Annual Report,https://zmdc.co.zw/assets/files/ZMDC-ANNUALREPORT2020.pdf
Gold,ZMDC,zmdc,Local Company,,Zimbabwe,2021,523.3,kg,10388695,-57870324,,,0.0%,,
Gold,ZMDC,zmdc,Local Company,,Zimbabwe,2022,588.39,kg,841380,6831405,,,0.0%,,
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2017,,ounces,255320400,198852200,,242700,0.1%,,
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2018,125000,ounces,270164400,235627920,15457860,222816,0.1%,Implats 2018 Report,https://implats-ir.co.za/reports/implats-ir-2018/implats-air-2018/pdf/implats-iar-2018-new.pdf
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2019,122000,ounces,291720000,291720000,13483000,3000000,1.0%,Implats Annual Integrated Report 2019,https://www.implats.co.za/pdf/annual-reports/annual-integrated-report/2019/implats-air-2019.pdf
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2020,248000,ounces,347335200,316675500,34747200,,0.0%,Implats Annual Report 2020,http://www.implats.co.za/pdf/annual-reports/reports/2020/implats-air-2020.pdf
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2021,261000,ounces,648121600,391561500,90701800,,0.0%,Implats Annual Report 2021,https://www.implats.co.za/pdf/annual-reports/annual-integrated-report/2021/integrated-report-2021.pdf
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2022,246000,ounces,527358296,149493528,93129488,,0.0%,Implats Annual Integrated Report 2022,https://www.implats.co.za/pdf/annual-reports/annual-integrated-report/2022/integrated-report-2022.pdf
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2023,245000,ounces,422086436,60769656,74129144,2035528,0.5%,,
Platinum,Unki Mine (Pvt) Limited,unki,International Company,Anglo-American,United Kingdom,2017,,ounces,201069570.6,,17300000,400000,0.2%,Anglo American Tax and Economic Contribution Report,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2018/tax-and-economic-contribution-report-2017.pdf
Platinum,Unki Mine (Pvt) Limited,unki,International Company,Anglo-American,United Kingdom,2018,89400,ounces,159670122,56879454,,700000,0.4%,Anglo American Country by Country Report 2018 Anglo American Tax and Economic Contribution Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/anglo-american-country-by-country-report-2018-revised-july-2021.pdf https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/tax-and-economic-contribution-report-2018-full.pdf
Platinum,Unki Mine (Pvt) Limited,unki,International Company,Anglo-American,United Kingdom,2019,89500,ounces,285026598,70852064,28100000,1100000,0.4%,Anglo American Country by Country Report 2019 Anglo American Tax and Economic Contribution Report 2019,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2020/anglo-american-country-by-country-report-2019.pdf https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2020/tax-and-economic-contribution-report.pdf
Platinum,Unki Mine (Pvt) Limited,unki,International Company,Anglo-American,United Kingdom,2020,196000,ounces,326692764,144976376,44500000,1100000,0.3%,Anglo American Country by Country Report 2020 Anglo American Tax and Economic Contribution Report 2020,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2021/anglo-american-country-by-country-report-2020.pdf https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2021/tax-and-economic-contribution-report-2020.pdf
Platinum,Unki Mine (Pvt) Limited,unki,International Company,Anglo-American,United Kingdom,2021,205000,ounces,536888991,200052489,127900000,900000,0.2%,Chamber of Mines Anglo American Tax and Economic Contribution Report 2021,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2022/tax-and-economic-contribution-report-2021.pdf
Platinum,Unki Mine (Pvt) Limited,unki,International Company,Anglo-American,United Kingdom,2022,232100,ounces,,,73000000,4000000,0.0%,,
Platinum,Unki Mine (Pvt) Limited,unki,International Company,Anglo-American,United Kingdom,2023,243800,ounces,,,24000000,5000000,0.0%,,
Platinum,Zimplats,zimplats,International Company,Implats Pvt Ltd,South Africa,2017,281100,ounces,5000000,4383000,,,0.0%,Zimplats 2017 Annual Report,https://www.zimplats.com/data/2017/10/AR2017.pdf
Platinum,Zimplats,zimplats,International Company,Implats Pvt Ltd,South Africa,2018,270700,ounces,12150000,9038000,1823000,6000000,49.4%,Zimplats 2018 Annual Report; Zimplats Social Investment Report 2018,https://www.zimplats.com/data/2018/09/ar2018.pdf; https://www.zimplats.com/social-investments-2018/
Platinum,Zimplats,zimplats,International Company,Implats Pvt Ltd,South Africa,2019,269900,ounces,59627000,48922000,8944000,3784554,6.3%,Zimplats 2019 Annual Report,https://www.zimplats.com/data/2019/11/2019_Integrated_Report_.pdf
Platinum,Zimplats,zimplats,International Company,Implats Pvt Ltd,South Africa,2020,580200,ounces,81000000,67049000,12150000,2628194,3.2%,Zimplats 2020 Annual Report,https://www.zimplats.com/data/2020/10/ZIMPLATS-INTEGRATED-ANNUAL-REPORT-2020.pdf
Platinum,Zimplats,zimplats,International Company,Implats Pvt Ltd,South Africa,2021,579000,ounces,328500000,280222000,49275000,2987761,0.9%,Chamber of Mines Zimplats 2021 Annual Report,https://www.zimplats.com/data/2021/10/2021-INTEGRATED-ANNUAL-REPORT.pdf
Platinum,Zimplats,zimplats,International Company,Implats Pvt Ltd,South Africa,2022,583492,ounces,1240000000,353600000,240000000,4304720,0.3%,,
Platinum,Zimplats,zimplats,International Company,Implats Pvt Ltd,South Africa,2023,611226,ounces,962300000,205500000,81300000,4747260,0.5%,,
Platinum,Zimplats,zimplats,International Company,Implats Pvt Ltd,South Africa,2024,646000,ounces,767113000,8222000,29360000,,0.0%,,
